在哪条路,什么事,什么情况下发生,系统现在自己做了什么,要不要弹窗让我选,代码在哪
"文字路","常见错字","客户写「盒鲜豆腐3合」","把「合」当错字改成「盒」","","引擎-解析.js:88"
"文字路","当成标题不是货","一行短中文、整行没数字","整行不当货，不进单","","引擎-解析.js:126"
"文字路","品名尾巴当点位","「老豆腐 K53」","把 K53 摘出去当点位","","引擎-解析.js:204"
"文字路","字被拉开了粘回去","「( 2 1 7 # 0 1 )」","自动粘成「(217#01)」","","引擎-解析.js:325"
"文字路","一格里怎么断句","「50串**E028+25串**E002」","自己决定在哪儿切开","","引擎-解析.js:404"
"文字路","行尾的钱当单价","行尾写着「¥3.4」","当单价剥掉，不当数量","","引擎-解析.js:612"
"文字路","★板跟块（数量写0）","「(B182 维比奇#教师-6块)0斤」","斤那栏的0不算，拿「6块」当数量","","引擎-解析.js:638"
"文字路","★板跟块（补救）","同上，块换算成斤","1块当1斤直接算","","引擎-解析.js:727"
"文字路","兜底硬找一个数","前面所有写法都没配上","像人一样在行里挑一个数当数量","","引擎-解析.js:1084"
"文字路","★备注里的数顶掉数量","数量栏写5，备注栏写「要8」","按8算，不按5","","引擎-解析.js:1191"
"文字路","单位空着自己推","单位列空的，规格写「7斤/板」","推出单位是板","","引擎-解析.js:1345"
"文字路","【丢】有字没数字整行扔","一行有文字、没有数量","整行丢掉，不吭声","","引擎-解析.js:1276"
"格子路","一格是什么","格子里写着「6」","五选一：规格/数量/点位/别的","","引擎-抓取.js:173"
"格子路","一整列是什么","整列都是数字","看大多数格子长相定这列是什么","","引擎-抓取.js:214"
"格子路","从第几行开始是货","表上有抬头、说明、空行","靠表头词表猜数据从哪行起","","引擎-抓取.js:606"
"格子路","哪列是品名/数量/单位","表头写「预定数」「订菜总数」","靠字眼配到角色上","","引擎-抓取.js:668"
"格子路","是不是矩阵表","一列一个门店那种","自己试着横过来读","","引擎-抓取.js:920"
"配货","一个叫法配到好几个货","「水豆腐」在库里有4个","挑一个当默认","","引擎-匹配.js:245"
"认表","是不是Excel截图","图片长得像表格","按截图处理","","引擎-认表.js:304"
"认表","哪一行像表头","没有明显表头的表","靠长相挑一行当表头","","引擎-认表.js:344"
"认表","自己找分布列","没有读法本的新表","自己找哪列是点位明细","","引擎-认表.js:458"
"认表","哪列是序号","第一列都是1,2,3","当序号，不当数量","","引擎-认表.js:540"
