文件,行号,叫什么,是哪一档,说明
"引擎-解析.js","53","板当斤算 —— 只拦一个方向","闸","只拦不改，方向是对的"
"引擎-解析.js","88","常见错字自动改","猜","把客户写的字改掉了"
"引擎-解析.js","126","是单据标题 / 找单据标题","猜","靠长相认，认错就整行没了"
"引擎-解析.js","204","摘尾巴点位","猜","品名尾巴那截当点位"
"引擎-解析.js","286","中文数字转阿拉伯","规矩","十五=15，确定的"
"引擎-解析.js","308","规格并进商品名","规矩","只准一份，已收敛"
"引擎-解析.js","325","还原拉伸","猜","猜哪些字被拉开了"
"引擎-解析.js","404","先切片再逐片认（断句）","猜","文字路本职，但切错就全错"
"引擎-解析.js","612","摘单价","猜","哪个数是单价"
"引擎-解析.js","620","一串加法","规矩","4+8+5 加起来，确定的"
"引擎-解析.js","638","数量写0、真数量藏说明里【板·块】","猜","★你点名的"
"引擎-解析.js","677","说不准","闸","这个就是「标成不确定」本身"
"引擎-解析.js","727","零数量补救【板·块】","猜","★你点名的"
"引擎-解析.js","801","摘总数（当校验码）","规矩","只对账不改数"
"引擎-解析.js","1084","兜底：像人一样找数量","猜","前面全没接住时硬找一个"
"引擎-解析.js","1191","备注里写了数量就以备注为准","猜","★你点名的．广垦多算349.60"
"引擎-解析.js","1276","没写具体数量的，整行不要","丢","整行吃掉，不吭声"
"引擎-解析.js","1345","单位反推","猜","拿单价倒推单位"
"引擎-解析.js","1378","预置对照的取值","规矩","查表"
"引擎-解析.js","1427","学过的对照","规矩","查你教过的"
"引擎-解析.js","1515","单位换算","作废","8/18 定：不许系统折板"
"引擎-抓取.js","70","是我们的货","规矩","拿价格库当尺子"
"引擎-抓取.js","102","认品名列","规矩","同上，8/18 已从猜位置改成量尺子"
"引擎-抓取.js","173","认一格","猜","这格是点位还是数量"
"引擎-抓取.js","214","认一列","猜","整列是什么"
"引擎-抓取.js","351","是合计行 / 算合计行","规矩","8/18 已从认字改成靠算术"
"引擎-抓取.js","401","点名","闸","没下落的会喊"
"引擎-抓取.js","606","找数据起点","猜","从第几行开始是货"
"引擎-抓取.js","668","挑列","猜","哪列是什么"
"引擎-抓取.js","920","试横着排","猜","猜是不是矩阵表"
"引擎-匹配.js","21","验收线：什么时候可以自己拍板","闸","★总闸，就在这儿"
"引擎-匹配.js","132","反义词闸门","闸","大/小 对不上就拦"
"引擎-匹配.js","245","默认那头","猜","挑不出来就默认一个"
"引擎-认表.js","304","是Excel截图","猜","靠长相"
"引擎-认表.js","344","像表头","猜","靠长相"
"引擎-认表.js","458","自己找分布列","猜","没读法本时自己找"
"引擎-认表.js","540","像序号","猜","靠长相"
