文件,行号,类型,代码
"引擎-解析.js","140","丢掉","if(!s) continue;"
"引擎-解析.js","360","丢掉","if(!isSpotCode(code,before)) continue;"
"引擎-解析.js","396","丢掉","if(!m2) return;"
"引擎-解析.js","398","丢掉","if(!cd||!/[一-龥0-9A-Za-z]/.test(cd)) return;"
"引擎-解析.js","449","丢掉","var t=String(c).trim(); if(!t) return;"
"引擎-解析.js","455","丢掉","return;"
"引擎-解析.js","472","丢掉","if(cd2) { listE.push({qty:parseFloat(mm[1]),unit:mm[2]||"""",code:cd2,名:名2,note:""""}); return"
"引擎-解析.js","476","丢掉","if(mm){ listE.push({qty:parseFloat(mm[1]),unit:mm[2]||"""",code:mm[3].trim(),note:""""}); retu"
"引擎-解析.js","895","丢掉","if(!s.trim()) return;"
"引擎-解析.js","898","丢掉","if(sh){ if(sh.spot) spot=sh.spot; cur=null; return; }"
"引擎-解析.js","915","丢掉","if(!s.trim()) return;"
"引擎-解析.js","919","丢掉","if(!s.trim()) return;"
"引擎-解析.js","937","丢掉","if(hm){ hmap=hm; cur=null; return; }"
"引擎-解析.js","949","丢掉","return;"
"引擎-解析.js","957","丢掉","if(isHeaderLine(s)) return;"
"引擎-解析.js","979","丢掉","cur=null; return;"
"引擎-解析.js","986","丢掉","if(!(cells[hmap.name]||"""").trim()&&!/[0-9]/.test(s)){ cur=null; return; }"
"引擎-解析.js","1001","丢掉","if(!纯单位0.test(cells[i])) continue;"
"引擎-解析.js","1003","丢掉","if(qi>=0||j<0||j>=cells.length) return;"
"引擎-解析.js","1005","丢掉","if(A0){ qi=j; qv=A0.qty; qsum=A0.raw; return; }"
"引擎-解析.js","1023","丢掉","cur=null; return;"
"引擎-解析.js","1027","丢掉","if(isHeaderLine(s)) return;"
"引擎-解析.js","1048","丢掉","cur=null; return;"
"引擎-解析.js","1081","丢掉","cur=null; return;"
"引擎-解析.js","1115","丢掉","if(!m末[2]&&规格尾.test(后)) continue;               /* 500g / 1.5cm */"
"引擎-解析.js","1116","丢掉","if(!m末[2]&&尺寸后.test(后)) continue;               /* 30 X 40 里的 30 */"
"引擎-解析.js","1118","丢掉","if(!m末[2]&&/[xX×＊]\s*$/.test(前)&&/[0-9]\s*$/.test(前.replace(/[xX×＊]\s*$/,""""))) continue;"
"引擎-解析.js","1124","丢掉","if(末&&末[2]&&!m末[2]) continue;"
"引擎-解析.js","1134","丢掉","cur=null; return;"
"引擎-解析.js","1146","丢掉","cur=null; return;"
"引擎-解析.js","1157","丢掉","return;"
"引擎-解析.js","1171","丢掉","if(!L._spot) return;"
"引擎-解析.js","1210","丢掉","if(!t) return;"
"引擎-解析.js","1217","丢掉","if(!m) return;"
"引擎-解析.js","1218","默认值","v=(parseFloat(m[1])||0)+(parseFloat(m[3])||0);"
"引擎-解析.js","1221","丢掉","if(!(v>0)) return;"
"引擎-解析.js","1244","丢掉","if(parseFloat(g.qty)>0) return;"
"引擎-解析.js","1248","丢掉","return;"
"引擎-解析.js","1251","丢掉","if(g.qty>0&&Math.abs(g.qty-v)<0.0001) return;   /* 跟数量列写的一样，不用动 */"
"引擎-解析.js","1266","丢掉","return;"
"引擎-解析.js","1292","默认值","var 留=L.segs.filter(function(g){ return (g.qty||0)>0||g.没看清; });"
"引擎-解析.js","1310","丢掉","if(没数量的.indexOf(名)>=0) return;"
"引擎-解析.js","1312","丢掉","if(还在) return;"
"引擎-解析.js","1314","丢掉","if(已在别的货) return;"
"引擎-解析.js","1321","丢掉","if(!L.text) return;"
"引擎-解析.js","1470","丢掉","var n=norm(text); if(!n) return;"
"引擎-解析.js","1477","丢掉","if(unit&&typeof unitOf===""function""&&板当斤(unit,unitOf(sku))) return;"
"引擎-解析.js","1504","丢掉","if(bareRisky&&bareRisky(ba,unit)) return;"
"引擎-解析.js","1520","换算","function convFind(table,cid,text,unit){"
"引擎-解析.js","1526","丢掉","if(unitNorm(r.from)!==u) continue;"
"引擎-解析.js","1527","丢掉","if(n.indexOf(norm(r.word))<0) continue;"
"引擎-解析.js","1528","丢掉","if(!(r.mul>0)) continue;"
"引擎-解析.js","1534","换算","function convApply(table,cid,L){"
"引擎-解析.js","1536","换算","var c=convFind(table,cid,L.text,L.unit);"
"引擎-解析.js","1539","默认值","L.qty=Math.round((L.qty||0)*c.mul*1000)/1000;"
"引擎-读结构.js","88","丢掉","if(!mm) continue;"
"引擎-读结构.js","182","丢掉","if(!R||typeof R!==""object"") return;"
"引擎-读结构.js","191","丢掉","if(!名原) return;"
"引擎-读结构.js","202","丢掉","if(!d||typeof d!==""object"") return;"
"引擎-读结构.js","245","丢掉","return;                            /* ← 原来这一行，一个字没动 */"
"引擎-读结构.js","292","丢掉","return;                    /* 整行不进系统 */"
"引擎-读结构.js","333","丢掉","if(!L.总数||!(L.总数.qty>0)) return;"
"引擎-读结构.js","334","默认值","var 和=Math.round((L.qty||0)*1000)/1000, 总=Math.round(L.总数.qty*1000)/1000;"
"引擎-读结构.js","335","丢掉","if(Math.abs(和-总)<0.001) return;"
"引擎-读结构.js","342","默认值",".reduce(function(a,g){ return a+(g.qty||0); },0);"
"引擎-读结构.js","353","丢掉","if(!(L.表上金额>0)||!(L.price>0)) return;"
"引擎-读结构.js","355","默认值","var 有=Math.round((L.qty||0)*1000)/1000;"
"引擎-读结构.js","356","丢掉","if(Math.abs(该-有)<0.01) return;"
"引擎-读结构.js","371","默认值","var 全=0; lines.forEach(function(L){ 全+=(L.qty||0); });"
"引擎-读结构.js","565","默认值","var v=Math.round((n||0)*1000)/1000;"
"引擎-抓取.js","57","丢掉","if (!v) return;"
"引擎-抓取.js","91","丢掉","if (!t) continue;"
"引擎-抓取.js","188","默认值","if (s0.length && s0.some(function (g) { return (parseFloat(g.qty) || 0) > 0; }))"
